Trial,Alpha,Gamma,Epsilon,Recompensa promedio,Mejor
68,0.19981891681253408,0.771139364051901,0.20029744951501594,-9.36,No
69,0.25383646219525613,0.7601492062244268,0.1511072170148526,4.97,No
70,0.22383891963775837,0.9120313575781689,0.23765812666127045,-5.68,No
71,0.28422930616862274,0.7538577261034556,0.10266976932732749,11.74,No
72,0.3726618823342796,0.7495919188176804,0.10039285138041355,14.08,No
73,0.4397766023034369,0.743541301027704,0.12086276682176621,11.65,No
74,0.404845641197644,0.7891333924705086,0.16842256838113162,7.14,No
75,0.35144493954572964,0.7254268990036961,0.1414424877035034,6.8,No
76,0.19125984243617883,0.7625132724217769,0.1883485590270457,-1.81,No
77,0.3246585124853984,0.7789882191540322,0.7051923736280088,-293.54,No
78,0.17963270761733785,0.8075448120537859,0.12092586667523066,10.93,No
79,0.20427777331678276,0.7689582549701175,0.15937935916148988,5.81,No
80,0.41731381384737726,0.7463358752143584,0.4036273616099506,-70.34,No
81,0.33615053522347416,0.753294899953926,0.10219801707276086,11.34,No
82,0.37861972734345434,0.7338644720299569,0.12085781521146036,6.52,No
83,0.47678182813356706,0.7580785917843317,0.14138078472703625,7.77,No
84,0.29959427651740567,0.7216497346770478,0.2202507890310898,-11.91,No
85,0.27727940676458895,0.7940863213421461,0.10110448454668099,16.27,Yes
86,0.2764542432605397,0.8187786563262429,0.5142171216262243,-92.49,No
87,0.2173521359071316,0.7915957602294869,0.19058963443549176,-0.18,No
88,0.13542527633661236,0.802487398673102,0.15801280055074152,3.69,No
89,0.2356555500585902,0.8312300902396134,0.12359201152750199,11.25,No
90,0.12030321686960639,0.782674044559864,0.17544158388995618,2.2,No
91,0.3095797114308429,0.7721057702864468,0.10139252091164937,8.81,No
92,0.2751228001078071,0.7402167318421624,0.14516245112035625,6.83,No
93,0.2929867325626577,0.7486158786219492,0.11547191133689672,12.22,No
94,0.2604102130128551,0.7674009825870137,0.12283416581757622,8.56,No
95,0.31441354124333964,0.7491748632645864,0.15252180965480583,-0.74,No
96,0.16811241350507602,0.7748792779411898,0.9993087420539679,-1295.7,No
97,0.14694531862179958,0.960171599152506,0.13514802421548713,7.16,No
98,0.338731612668487,0.8506676624732445,0.21058067911405431,-7.03,No
99,0.29207220442614895,0.7636262420538794,0.16992470316295802,2.53,No
